District,Crop,Year,Season,Total_Rainfall_mm,Average_Temp_C,Yield_KG_HA
Bugesera,Ground nuts,2016,Season A,465.6,21.58543956043956,351.67
Bugesera,Ground nuts,2016,Season B,281.9,21.78016304347826,421.62
Bugesera,Ground nuts,2017,Season A,356.3,21.78977900552486,324.01
Bugesera,Ground nuts,2017,Season B,268.8,21.27907608695652,440.68
Bugesera,Ground nuts,2018,Season A,365.0,21.24723756906077,337.39
Bugesera,Ground nuts,2018,Season B,525.0,20.205434782608695,628.01
Bugesera,Ground nuts,2019,Season A,567.6,21.348342541436462,396.86
Bugesera,Ground nuts,2019,Season B,281.2,21.39646739130435,432.73
Bugesera,Ground nuts,2020,Season A,536.9,21.3456043956044,387.44
Bugesera,Ground nuts,2020,Season B,397.7,21.37092391304348,499.44
Bugesera,Ground nuts,2021,Season A,491.3,21.377348066298342,362.28
Bugesera,Ground nuts,2021,Season B,318.7,20.65217391304348,492.12
Bugesera,Irish potatoes,2015,Season A,553.0,21.2414364640884,2610.14
Bugesera,Irish potatoes,2015,Season B,335.0,21.378260869565217,2319.96
Bugesera,Irish potatoes,2016,Season A,465.6,21.58543956043956,2328.73
Bugesera,Irish potatoes,2016,Season B,281.9,21.78016304347826,2089.84
Bugesera,Irish potatoes,2017,Season A,356.3,21.78977900552486,2051.04
Bugesera,Irish potatoes,2017,Season B,268.8,21.27907608695652,2130.22
Bugesera,Irish potatoes,2018,Season A,365.0,21.24723756906077,2198.74
Bugesera,Irish potatoes,2018,Season B,525.0,20.205434782608695,3011.99
Bugesera,Irish potatoes,2019,Season A,567.6,21.348342541436462,2527.85
Bugesera,Irish potatoes,2019,Season B,281.2,21.39646739130435,2097.84
Bugesera,Irish potatoes,2020,Season A,536.9,21.3456043956044,2539.45
Bugesera,Irish potatoes,2020,Season B,397.7,21.37092391304348,2466.13
Bugesera,Irish potatoes,2021,Season A,491.3,21.377348066298342,2436.07
Bugesera,Irish potatoes,2021,Season B,318.7,20.65217391304348,2353.03
Bugesera,Maize,2015,Season A,553.0,21.2414364640884,1731.14
Bugesera,Maize,2015,Season B,335.0,21.378260869565217,1132.69
Bugesera,Maize,2016,Season A,465.6,21.58543956043956,1524.76
Bugesera,Maize,2016,Season B,281.9,21.78016304347826,1006.56
Bugesera,Maize,2017,Season A,356.3,21.78977900552486,1409.65
Bugesera,Maize,2017,Season B,268.8,21.27907608695652,1033.27
Bugesera,Maize,2018,Season A,365.0,21.24723756906077,1440.7
Bugesera,Maize,2018,Season B,525.0,20.205434782608695,1512.71
Bugesera,Maize,2019,Season A,567.6,21.348342541436462,1692.38
Bugesera,Maize,2019,Season B,281.2,21.39646739130435,1039.17
Bugesera,Maize,2020,Season A,536.9,21.3456043956044,1651.92
Bugesera,Maize,2020,Season B,397.7,21.37092391304348,1221.72
Bugesera,Maize,2021,Season A,491.3,21.377348066298342,1606.58
Bugesera,Maize,2021,Season B,318.7,20.65217391304348,1154.96
Bugesera,Paddy rice,2015,Season A,553.0,21.2414364640884,4581.31
Bugesera,Paddy rice,2015,Season B,335.0,21.378260869565217,5899.82
Bugesera,Paddy rice,2016,Season A,465.6,21.58543956043956,4187.71
Bugesera,Paddy rice,2016,Season B,281.9,21.78016304347826,5273.05
Bugesera,Paddy rice,2017,Season A,356.3,21.78977900552486,3686.66
Bugesera,Paddy rice,2017,Season B,268.8,21.27907608695652,5490.63
Bugesera,Paddy rice,2018,Season A,365.0,21.24723756906077,3810.46
Bugesera,Paddy rice,2018,Season B,525.0,20.205434782608695,7918.41
Bugesera,Paddy rice,2019,Season A,567.6,21.348342541436462,4599.33
Bugesera,Paddy rice,2019,Season B,281.2,21.39646739130435,5326.09
Bugesera,Paddy rice,2020,Season A,536.9,21.3456043956044,4493.1
Bugesera,Paddy rice,2020,Season B,397.7,21.37092391304348,6233.61
Bugesera,Paddy rice,2021,Season A,491.3,21.377348066298342,4324.34
Bugesera,Paddy rice,2021,Season B,318.7,20.65217391304348,6132.72
Bugesera,Peas,2015,Season A,553.0,21.2414364640884,749.25
Bugesera,Peas,2015,Season B,335.0,21.378260869565217,421.95
Bugesera,Peas,2016,Season A,465.6,21.58543956043956,706.11
Bugesera,Peas,2016,Season B,281.9,21.78016304347826,385.6
Bugesera,Peas,2017,Season A,356.3,21.78977900552486,626.41
Bugesera,Peas,2017,Season B,268.8,21.27907608695652,403.85
Bugesera,Peas,2018,Season A,365.0,21.24723756906077,651.56
Bugesera,Peas,2018,Season B,525.0,20.205434782608695,568.34
Bugesera,Peas,2019,Season A,567.6,21.348342541436462,754.01
Bugesera,Peas,2019,Season B,281.2,21.39646739130435,408.23
Bugesera,Peas,2020,Season A,536.9,21.3456043956044,759.71
Bugesera,Peas,2020,Season B,397.7,21.37092391304348,473.66
Bugesera,Peas,2021,Season A,491.3,21.377348066298342,724.01
Bugesera,Peas,2021,Season B,318.7,20.65217391304348,443.19
Bugesera,Sorghum,2015,Season A,553.0,21.2414364640884,852.38
Bugesera,Sorghum,2015,Season B,335.0,21.378260869565217,664.84
Bugesera,Sorghum,2016,Season A,465.6,21.58543956043956,780.48
Bugesera,Sorghum,2016,Season B,281.9,21.78016304347826,587.11
Bugesera,Sorghum,2017,Season A,356.3,21.78977900552486,707.06
Bugesera,Sorghum,2017,Season B,268.8,21.27907608695652,621.57
Bugesera,Sorghum,2018,Season A,365.0,21.24723756906077,726.11
Bugesera,Sorghum,2018,Season B,525.0,20.205434782608695,896.16
Bugesera,Sorghum,2019,Season A,567.6,21.348342541436462,860.9
Bugesera,Sorghum,2019,Season B,281.2,21.39646739130435,609.32
Bugesera,Sorghum,2020,Season A,536.9,21.3456043956044,837.55
Bugesera,Sorghum,2020,Season B,397.7,21.37092391304348,724.34
Bugesera,Sorghum,2021,Season A,491.3,21.377348066298342,800.49
Bugesera,Sorghum,2021,Season B,318.7,20.65217391304348,678.42
Bugesera,Soya beans,2015,Season A,553.0,21.2414364640884,374.43
Bugesera,Soya beans,2015,Season B,335.0,21.378260869565217,304.3
Bugesera,Soya beans,2016,Season A,465.6,21.58543956043956,339.54
Bugesera,Soya beans,2016,Season B,281.9,21.78016304347826,273.73
Bugesera,Soya beans,2017,Season A,356.3,21.78977900552486,296.16
Bugesera,Soya beans,2017,Season B,268.8,21.27907608695652,277.92
Bugesera,Soya beans,2018,Season A,365.0,21.24723756906077,324.14
Bugesera,Soya beans,2018,Season B,525.0,20.205434782608695,414.89
Bugesera,Soya beans,2019,Season A,567.6,21.348342541436462,372.79
Bugesera,Soya beans,2019,Season B,281.2,21.39646739130435,279.52
Bugesera,Soya beans,2020,Season A,536.9,21.3456043956044,358.96
Bugesera,Soya beans,2020,Season B,397.7,21.37092391304348,338.62
Bugesera,Soya beans,2021,Season A,491.3,21.377348066298342,345.81
Bugesera,Soya beans,2021,Season B,318.7,20.65217391304348,315.61
Bugesera,Sweet potatoes,2015,Season A,553.0,21.2414364640884,7169.14
Bugesera,Sweet potatoes,2015,Season B,335.0,21.378260869565217,3885.7
Bugesera,Sweet potatoes,2016,Season A,465.6,21.58543956043956,6564.29
Bugesera,Sweet potatoes,2016,Season B,281.9,21.78016304347826,3513.53
Bugesera,Sweet potatoes,2017,Season A,356.3,21.78977900552486,5732.23
Bugesera,Sweet potatoes,2017,Season B,268.8,21.27907608695652,3513.58
Bugesera,Sweet potatoes,2018,Season A,365.0,21.24723756906077,6184.72
Bugesera,Sweet potatoes,2018,Season B,525.0,20.205434782608695,5151.87
Bugesera,Sweet potatoes,2019,Season A,567.6,21.348342541436462,7144.34
Bugesera,Sweet potatoes,2019,Season B,281.2,21.39646739130435,3571.56
Bugesera,Sweet potatoes,2020,Season A,536.9,21.3456043956044,7120.94
Bugesera,Sweet potatoes,2020,Season B,397.7,21.37092391304348,4098.79
Bugesera,Sweet potatoes,2021,Season A,491.3,21.377348066298342,6757.98
Bugesera,Sweet potatoes,2021,Season B,318.7,20.65217391304348,4054.22
Bugesera,Yams & Taro,2015,Season A,553.0,21.2414364640884,1474.21
Bugesera,Yams & Taro,2015,Season B,335.0,21.378260869565217,6562.02
Bugesera,Yams & Taro,2016,Season A,465.6,21.58543956043956,1347.98
Bugesera,Yams & Taro,2016,Season B,281.9,21.78016304347826,5801.92
Bugesera,Yams & Taro,2017,Season A,356.3,21.78977900552486,1220.68
Bugesera,Yams & Taro,2017,Season B,268.8,21.27907608695652,5943.52
Bugesera,Yams & Taro,2018,Season A,365.0,21.24723756906077,1281.47
Bugesera,Yams & Taro,2018,Season B,525.0,20.205434782608695,8616.33
Bugesera,Yams & Taro,2019,Season A,567.6,21.348342541436462,1470.21
Bugesera,Yams & Taro,2019,Season B,281.2,21.39646739130435,6061.49
Bugesera,Yams & Taro,2020,Season A,536.9,21.3456043956044,1486.6
Bugesera,Yams & Taro,2020,Season B,397.7,21.37092391304348,6981.28
Bugesera,Yams & Taro,2021,Season A,491.3,21.377348066298342,1378.22
Bugesera,Yams & Taro,2021,Season B,318.7,20.65217391304348,6753.01
Burera,Banana for beer,2015,Season A,1208.4,19.20165745856353,12055.79
Burera,Banana for beer,2015,Season B,648.3,19.28016304347826,7340.44
Burera,Banana for beer,2016,Season A,991.1,19.63791208791209,10536.88
Burera,Banana for beer,2016,Season B,653.2,19.801358695652173,6949.48
Burera,Banana for beer,2017,Season A,470.3,19.170165745856355,7754.07
Burera,Banana for beer,2017,Season B,385.0,18.70625,6533.96
Burera,Banana for beer,2018,Season A,584.5,18.767127071823204,8828.81
Burera,Banana for beer,2018,Season B,603.0,18.10570652173913,7728.93
Burera,Banana for beer,2019,Season A,1037.5,18.71961325966851,11405.35
Burera,Banana for beer,2019,Season B,519.2,18.692391304347822,7124.65
Burera,Banana for beer,2020,Season A,1029.4,18.752472527472527,11306.8
Burera,Banana for beer,2020,Season B,711.8,18.7125,8116.46
Burera,Banana for beer,2021,Season A,653.3,18.894198895027625,8956.29
Burera,Banana for beer,2021,Season B,657.5,18.253260869565217,7906.44
Burera,Bananas,2015,Season A,1208.4,19.20165745856353,14345.5
Burera,Bananas,2015,Season B,648.3,19.28016304347826,12081.82
Burera,Bananas,2016,Season A,991.1,19.63791208791209,12671.58
Burera,Bananas,2016,Season B,653.2,19.801358695652173,11710.08
Burera,Bananas,2017,Season A,470.3,19.170165745856355,9449.73
Burera,Bananas,2017,Season B,385.0,18.70625,10470.73
Burera,Bananas,2018,Season A,584.5,18.767127071823204,10332.77
Burera,Bananas,2018,Season B,603.0,18.10570652173913,13334.22
Burera,Bananas,2019,Season A,1037.5,18.71961325966851,13464.22
Burera,Bananas,2019,Season B,519.2,18.692391304347822,11705.37
Burera,Bananas,2020,Season A,1029.4,18.752472527472527,13742.69
Burera,Bananas,2020,Season B,711.8,18.7125,13652.97
Burera,Bananas,2021,Season A,653.3,18.894198895027625,10718.53
Burera,Bananas,2021,Season B,657.5,18.253260869565217,13695.76
Burera,Beans,2015,Season B,648.3,19.28016304347826,994.08
Burera,Beans,2016,Season B,653.2,19.801358695652173,935.09
Burera,Beans,2017,Season B,385.0,18.70625,867.97
Burera,Beans,2018,Season B,603.0,18.10570652173913,1090.76
Burera,Beans,2019,Season B,519.2,18.692391304347822,943.46
Burera,Beans,2020,Season B,711.8,18.7125,1108.43
Burera,Beans,2021,Season B,657.5,18.253260869565217,1074.24
Burera,Bush bean,2015,Season A,1208.4,19.20165745856353,714.89
Burera,Bush bean,2015,Season B,648.3,19.28016304347826,660.87
Burera,Bush bean,2016,Season A,991.1,19.63791208791209,640.71
Burera,Bush bean,2016,Season B,653.2,19.801358695652173,653.65
Burera,Bush bean,2017,Season A,470.3,19.170165745856355,486.08
Burera,Bush bean,2017,Season B,385.0,18.70625,577.31
Burera,Bush bean,2018,Season A,584.5,18.767127071823204,525.3
Burera,Bush bean,2018,Season B,603.0,18.10570652173913,735.08
Burera,Bush bean,2019,Season A,1037.5,18.71961325966851,681.01
Burera,Bush bean,2019,Season B,519.2,18.692391304347822,656.1
Burera,Bush bean,2020,Season A,1029.4,18.752472527472527,688.64
Burera,Bush bean,2020,Season B,711.8,18.7125,729.1
Burera,Bush bean,2021,Season A,653.3,18.894198895027625,547.05
Burera,Bush bean,2021,Season B,657.5,18.253260869565217,741.9
Burera,Cassava,2015,Season A,1208.4,19.20165745856353,15353.69
Burera,Cassava,2015,Season B,648.3,19.28016304347826,11321.57
Burera,Cassava,2016,Season A,991.1,19.63791208791209,13662.82
Burera,Cassava,2016,Season B,653.2,19.801358695652173,10924.73
Burera,Cassava,2017,Season A,470.3,19.170165745856355,9949.7
Burera,Cassava,2017,Season B,385.0,18.70625,9707.77
Burera,Cassava,2018,Season A,584.5,18.767127071823204,11145.3
Burera,Cassava,2018,Season B,603.0,18.10570652173913,11993.17
Burera,Cassava,2019,Season A,1037.5,18.71961325966851,14542.86
Burera,Cassava,2019,Season B,519.2,18.692391304347822,11072.52
Burera,Cassava,2020,Season A,1029.4,18.752472527472527,14647.92
Burera,Cassava,2020,Season B,711.8,18.7125,12557.94
Burera,Cassava,2021,Season A,653.3,18.894198895027625,11729.52
Burera,Cassava,2021,Season B,657.5,18.253260869565217,12462.93
Burera,Climbing bean,2015,Season A,1208.4,19.20165745856353,964.71
Burera,Climbing bean,2015,Season B,648.3,19.28016304347826,1014.06
Burera,Climbing bean,2016,Season A,991.1,19.63791208791209,846.39
Burera,Climbing bean,2016,Season B,653.2,19.801358695652173,964.39
Burera,Climbing bean,2017,Season A,470.3,19.170165745856355,637.14
Burera,Climbing bean,2017,Season B,385.0,18.70625,908.86
Burera,Climbing bean,2018,Season A,584.5,18.767127071823204,716.91
Burera,Climbing bean,2018,Season B,603.0,18.10570652173913,1108.27
Burera,Climbing bean,2019,Season A,1037.5,18.71961325966851,904.18
Burera,Climbing bean,2019,Season B,519.2,18.692391304347822,994.24
Burera,Climbing bean,2020,Season A,1029.4,18.752472527472527,901.73
Burera,Climbing bean,2020,Season B,711.8,18.7125,1104.72
Burera,Climbing bean,2021,Season A,653.3,18.894198895027625,738.44
Burera,Climbing bean,2021,Season B,657.5,18.253260869565217,1129.17
Burera,Cooking Banana,2015,Season A,1208.4,19.20165745856353,17472.6
Burera,Cooking Banana,2015,Season B,648.3,19.28016304347826,18151.36
Burera,Cooking Banana,2016,Season A,991.1,19.63791208791209,15314.53
Burera,Cooking Banana,2016,Season B,653.2,19.801358695652173,17535.26
Burera,Cooking Banana,2017,Season A,470.3,19.170165745856355,11878.37
Burera,Cooking Banana,2017,Season B,385.0,18.70625,15995.38
Burera,Cooking Banana,2018,Season A,584.5,18.767127071823204,13138.2
Burera,Cooking Banana,2018,Season B,603.0,18.10570652173913,19544.76
Burera,Cooking Banana,2019,Season A,1037.5,18.71961325966851,16871.72
Burera,Cooking Banana,2019,Season B,519.2,18.692391304347822,17382.97
Burera,Cooking Banana,2020,Season A,1029.4,18.752472527472527,16496.84
Burera,Cooking Banana,2020,Season B,711.8,18.7125,20211.15
Burera,Cooking Banana,2021,Season A,653.3,18.894198895027625,13439.09
Burera,Cooking Banana,2021,Season B,657.5,18.253260869565217,20326.61
Burera,Dessert banana,2015,Season A,1208.4,19.20165745856353,7276.69
Burera,Dessert banana,2015,Season B,648.3,19.28016304347826,11337.66
Burera,Dessert banana,2016,Season A,991.1,19.63791208791209,6483.08
Burera,Dessert banana,2016,Season B,653.2,19.801358695652173,10704.09
Burera,Dessert banana,2017,Season A,470.3,19.170165745856355,4825.72
Burera,Dessert banana,2017,Season B,385.0,18.70625,9598.95
Burera,Dessert banana,2018,Season A,584.5,18.767127071823204,5477.55
Burera,Dessert banana,2018,Season B,603.0,18.10570652173913,11851.49
Burera,Dessert banana,2019,Season A,1037.5,18.71961325966851,6988.18
Burera,Dessert banana,2019,Season B,519.2,18.692391304347822,10580.23
Burera,Dessert banana,2020,Season A,1029.4,18.752472527472527,6924.65
Burera,Dessert banana,2020,Season B,711.8,18.7125,12327.04
Burera,Dessert banana,2021,Season A,653.3,18.894198895027625,5503.5
Burera,Dessert banana,2021,Season B,657.5,18.253260869565217,12340.37
Burera,Irish potatoes,2015,Season A,1208.4,19.20165745856353,14345.83
Burera,Irish potatoes,2015,Season B,648.3,19.28016304347826,9587.28
Burera,Irish potatoes,2016,Season A,991.1,19.63791208791209,12230.57
Burera,Irish potatoes,2016,Season B,653.2,19.801358695652173,9303.94
Burera,Irish potatoes,2017,Season A,470.3,19.170165745856355,9197.95
Burera,Irish potatoes,2017,Season B,385.0,18.70625,8449.2
Burera,Irish potatoes,2018,Season A,584.5,18.767127071823204,10480.22
Burera,Irish potatoes,2018,Season B,603.0,18.10570652173913,10419.01
Burera,Irish potatoes,2019,Season A,1037.5,18.71961325966851,13487.69
Burera,Irish potatoes,2019,Season B,519.2,18.692391304347822,9187.87
Burera,Irish potatoes,2020,Season A,1029.4,18.752472527472527,13478.58
Burera,Irish potatoes,2020,Season B,711.8,18.7125,10716.91
Burera,Irish potatoes,2021,Season A,653.3,18.894198895027625,10975.54
Burera,Irish potatoes,2021,Season B,657.5,18.253260869565217,10660.78
Burera,Maize,2015,Season A,1208.4,19.20165745856353,2777.3
Burera,Maize,2015,Season B,648.3,19.28016304347826,1126.81
Burera,Maize,2016,Season A,991.1,19.63791208791209,2384.36
Burera,Maize,2016,Season B,653.2,19.801358695652173,1068.29
Burera,Maize,2017,Season A,470.3,19.170165745856355,1805.56
Burera,Maize,2017,Season B,385.0,18.70625,1001.8
Burera,Maize,2018,Season A,584.5,18.767127071823204,2002.1
Burera,Maize,2018,Season B,603.0,18.10570652173913,1225.16
Burera,Maize,2019,Season A,1037.5,18.71961325966851,2632.92
Burera,Maize,2019,Season B,519.2,18.692391304347822,1072.52
Burera,Maize,2020,Season A,1029.4,18.752472527472527,2601.09
Burera,Maize,2020,Season B,711.8,18.7125,1253.53
Burera,Maize,2021,Season A,653.3,18.894198895027625,2071.08
Burera,Maize,2021,Season B,657.5,18.253260869565217,1217.3
Burera,Peas,2015,Season A,1208.4,19.20165745856353,903.65
Burera,Peas,2015,Season B,648.3,19.28016304347826,755.0
Burera,Peas,2016,Season A,991.1,19.63791208791209,801.86
Burera,Peas,2016,Season B,653.2,19.801358695652173,720.45
Burera,Peas,2017,Season A,470.3,19.170165745856355,603.64
Burera,Peas,2017,Season B,385.0,18.70625,658.41
Burera,Peas,2018,Season A,584.5,18.767127071823204,666.81
Burera,Peas,2018,Season B,603.0,18.10570652173913,809.16
Burera,Peas,2019,Season A,1037.5,18.71961325966851,851.74
Burera,Peas,2019,Season B,519.2,18.692391304347822,728.37
Burera,Peas,2020,Season A,1029.4,18.752472527472527,845.13
Burera,Peas,2020,Season B,711.8,18.7125,792.87
Burera,Peas,2021,Season A,653.3,18.894198895027625,680.6
Burera,Peas,2021,Season B,657.5,18.253260869565217,825.86
Burera,Sorghum,2015,Season A,1208.4,19.20165745856353,1742.5
Burera,Sorghum,2015,Season B,648.3,19.28016304347826,1268.15
Burera,Sorghum,2016,Season A,991.1,19.63791208791209,1512.93
Burera,Sorghum,2016,Season B,653.2,19.801358695652173,1188.85
Burera,Sorghum,2017,Season A,470.3,19.170165745856355,1117.26
Burera,Sorghum,2017,Season B,385.0,18.70625,1106.87
Burera,Sorghum,2018,Season A,584.5,18.767127071823204,1291.71
Burera,Sorghum,2018,Season B,603.0,18.10570652173913,1342.45
Burera,Sorghum,2019,Season A,1037.5,18.71961325966851,1654.82
Burera,Sorghum,2019,Season B,519.2,18.692391304347822,1215.63
Burera,Sorghum,2020,Season A,1029.4,18.752472527472527,1628.64
Burera,Sorghum,2020,Season B,711.8,18.7125,1372.56
Burera,Sorghum,2021,Season A,653.3,18.894198895027625,1329.28
Burera,Sorghum,2021,Season B,657.5,18.253260869565217,1378.79
Burera,Sweet potatoes,2015,Season A,1208.4,19.20165745856353,12348.85
Burera,Sweet potatoes,2015,Season B,648.3,19.28016304347826,6938.84
Burera,Sweet potatoes,2016,Season A,991.1,19.63791208791209,10778.6
Burera,Sweet potatoes,2016,Season B,653.2,19.801358695652173,6611.82
Burera,Sweet potatoes,2017,Season A,470.3,19.170165745856355,7936.38
