District,Crop,Year,Season,Total_Rainfall_mm,Average_Temp_C,Mean_NDVI,Yield_KG_HA
Bugesera,Dessert banana,2017,Season A,356.3,21.78977900552486,0.503,6930.62
Bugesera,Dessert banana,2017,Season B,268.8,21.27907608695652,0.4912,11149.37
Bugesera,Dessert banana,2018,Season A,365.0,21.24723756906077,0.5038,7384.16
Bugesera,Dessert banana,2018,Season B,525.0,20.205434782608695,0.5423,14735.49
Bugesera,Dessert banana,2019,Season A,567.6,21.348342541436462,0.514,8005.67
Bugesera,Dessert banana,2019,Season B,281.2,21.39646739130435,0.4911,11369.94
Bugesera,Dessert banana,2020,Season A,536.9,21.3456043956044,0.5121,7818.29
Bugesera,Dessert banana,2020,Season B,397.7,21.37092391304348,0.4963,12450.8
Bugesera,Dessert banana,2021,Season A,491.3,21.377348066298342,0.5188,7850.24
Bugesera,Dessert banana,2021,Season B,318.7,20.65217391304348,0.5121,12206.5
Bugesera,Ground nuts,2015,Season A,553.0,21.2414364640884,0.5452,385.45
Bugesera,Ground nuts,2015,Season B,335.0,21.378260869565217,0.532,486.42
Bugesera,Ground nuts,2016,Season A,465.6,21.58543956043956,0.5365,374.81
Bugesera,Ground nuts,2016,Season B,281.9,21.78016304347826,0.5149,451.85
Bugesera,Ground nuts,2017,Season A,356.3,21.78977900552486,0.503,340.89
Bugesera,Ground nuts,2017,Season B,268.8,21.27907608695652,0.4912,446.4
Bugesera,Ground nuts,2018,Season A,365.0,21.24723756906077,0.5038,342.71
Bugesera,Ground nuts,2018,Season B,525.0,20.205434782608695,0.5423,568.99
Bugesera,Ground nuts,2019,Season A,567.6,21.348342541436462,0.514,382.5
Bugesera,Ground nuts,2019,Season B,281.2,21.39646739130435,0.4911,442.97
Bugesera,Ground nuts,2020,Season A,536.9,21.3456043956044,0.5121,379.09
Bugesera,Ground nuts,2020,Season B,397.7,21.37092391304348,0.4963,484.51
Bugesera,Ground nuts,2021,Season A,491.3,21.377348066298342,0.5188,374.48
Bugesera,Ground nuts,2021,Season B,318.7,20.65217391304348,0.5121,487.41
Bugesera,Irish potatoes,2015,Season A,553.0,21.2414364640884,0.5452,2587.88
Bugesera,Irish potatoes,2015,Season B,335.0,21.378260869565217,0.532,2358.08
Bugesera,Irish potatoes,2016,Season A,465.6,21.58543956043956,0.5365,2390.47
Bugesera,Irish potatoes,2016,Season B,281.9,21.78016304347826,0.5149,2202.89
Bugesera,Irish potatoes,2017,Season A,356.3,21.78977900552486,0.503,2160.82
Bugesera,Irish potatoes,2017,Season B,268.8,21.27907608695652,0.4912,2138.58
Bugesera,Irish potatoes,2018,Season A,365.0,21.24723756906077,0.5038,2234.72
Bugesera,Irish potatoes,2018,Season B,525.0,20.205434782608695,0.5423,2817.09
Bugesera,Irish potatoes,2019,Season A,567.6,21.348342541436462,0.514,2486.55
Bugesera,Irish potatoes,2019,Season B,281.2,21.39646739130435,0.4911,2206.74
Bugesera,Irish potatoes,2020,Season A,536.9,21.3456043956044,0.5121,2452.58
Bugesera,Irish potatoes,2020,Season B,397.7,21.37092391304348,0.4963,2358.24
Bugesera,Irish potatoes,2021,Season A,491.3,21.377348066298342,0.5188,2460.15
Bugesera,Irish potatoes,2021,Season B,318.7,20.65217391304348,0.5121,2410.89
Bugesera,Maize,2015,Season A,553.0,21.2414364640884,0.5452,1685.5
Bugesera,Maize,2015,Season B,335.0,21.378260869565217,0.532,1175.45
Bugesera,Maize,2016,Season A,465.6,21.58543956043956,0.5365,1615.28
Bugesera,Maize,2016,Season B,281.9,21.78016304347826,0.5149,1057.41
Bugesera,Maize,2017,Season A,356.3,21.78977900552486,0.503,1459.99
Bugesera,Maize,2017,Season B,268.8,21.27907608695652,0.4912,1052.41
Bugesera,Maize,2018,Season A,365.0,21.24723756906077,0.5038,1499.95
Bugesera,Maize,2018,Season B,525.0,20.205434782608695,0.5423,1384.43
Bugesera,Maize,2019,Season A,567.6,21.348342541436462,0.514,1679.72
Bugesera,Maize,2019,Season B,281.2,21.39646739130435,0.4911,1081.01
Bugesera,Maize,2020,Season A,536.9,21.3456043956044,0.5121,1609.39
Bugesera,Maize,2020,Season B,397.7,21.37092391304348,0.4963,1138.82
Bugesera,Maize,2021,Season A,491.3,21.377348066298342,0.5188,1606.86
Bugesera,Maize,2021,Season B,318.7,20.65217391304348,0.5121,1152.6
Bugesera,Paddy rice,2015,Season A,553.0,21.2414364640884,0.5452,4601.46
Bugesera,Paddy rice,2015,Season B,335.0,21.378260869565217,0.532,6006.66
Bugesera,Paddy rice,2016,Season A,465.6,21.58543956043956,0.5365,4284.52
Bugesera,Paddy rice,2016,Season B,281.9,21.78016304347826,0.5149,5548.66
Bugesera,Paddy rice,2017,Season A,356.3,21.78977900552486,0.503,3790.43
Bugesera,Paddy rice,2017,Season B,268.8,21.27907608695652,0.4912,5605.58
Bugesera,Paddy rice,2018,Season A,365.0,21.24723756906077,0.5038,3973.04
Bugesera,Paddy rice,2018,Season B,525.0,20.205434782608695,0.5423,7106.1
Bugesera,Paddy rice,2019,Season A,567.6,21.348342541436462,0.514,4362.74
Bugesera,Paddy rice,2019,Season B,281.2,21.39646739130435,0.4911,5445.1
Bugesera,Paddy rice,2020,Season A,536.9,21.3456043956044,0.5121,4368.7
Bugesera,Paddy rice,2020,Season B,397.7,21.37092391304348,0.4963,6008.24
Bugesera,Paddy rice,2021,Season A,491.3,21.377348066298342,0.5188,4282.99
Bugesera,Paddy rice,2021,Season B,318.7,20.65217391304348,0.5121,6122.72
Bugesera,Peas,2015,Season A,553.0,21.2414364640884,0.5452,755.35
Bugesera,Peas,2015,Season B,335.0,21.378260869565217,0.532,439.31
Bugesera,Peas,2016,Season A,465.6,21.58543956043956,0.5365,728.2
Bugesera,Peas,2016,Season B,281.9,21.78016304347826,0.5149,406.83
Bugesera,Peas,2017,Season A,356.3,21.78977900552486,0.503,641.22
Bugesera,Peas,2017,Season B,268.8,21.27907608695652,0.4912,406.63
Bugesera,Peas,2018,Season A,365.0,21.24723756906077,0.5038,676.39
Bugesera,Peas,2018,Season B,525.0,20.205434782608695,0.5423,520.18
Bugesera,Peas,2019,Season A,567.6,21.348342541436462,0.514,752.86
Bugesera,Peas,2019,Season B,281.2,21.39646739130435,0.4911,409.28
Bugesera,Peas,2020,Season A,536.9,21.3456043956044,0.5121,726.04
Bugesera,Peas,2020,Season B,397.7,21.37092391304348,0.4963,445.12
Bugesera,Peas,2021,Season A,491.3,21.377348066298342,0.5188,715.66
Bugesera,Peas,2021,Season B,318.7,20.65217391304348,0.5121,446.08
Bugesera,Sorghum,2015,Season A,553.0,21.2414364640884,0.5452,860.99
Bugesera,Sorghum,2015,Season B,335.0,21.378260869565217,0.532,693.15
Bugesera,Sorghum,2016,Season A,465.6,21.58543956043956,0.5365,810.34
Bugesera,Sorghum,2016,Season B,281.9,21.78016304347826,0.5149,634.05
Bugesera,Sorghum,2017,Season A,356.3,21.78977900552486,0.503,741.06
Bugesera,Sorghum,2017,Season B,268.8,21.27907608695652,0.4912,629.32
Bugesera,Sorghum,2018,Season A,365.0,21.24723756906077,0.5038,772.98
Bugesera,Sorghum,2018,Season B,525.0,20.205434782608695,0.5423,824.05
Bugesera,Sorghum,2019,Season A,567.6,21.348342541436462,0.514,840.84
Bugesera,Sorghum,2019,Season B,281.2,21.39646739130435,0.4911,620.73
Bugesera,Sorghum,2020,Season A,536.9,21.3456043956044,0.5121,840.4
Bugesera,Sorghum,2020,Season B,397.7,21.37092391304348,0.4963,676.83
Bugesera,Sorghum,2021,Season A,491.3,21.377348066298342,0.5188,806.11
Bugesera,Sorghum,2021,Season B,318.7,20.65217391304348,0.5121,696.38
Bugesera,Soya beans,2015,Season A,553.0,21.2414364640884,0.5452,373.14
Bugesera,Soya beans,2015,Season B,335.0,21.378260869565217,0.532,322.4
Bugesera,Soya beans,2016,Season A,465.6,21.58543956043956,0.5365,346.05
Bugesera,Soya beans,2016,Season B,281.9,21.78016304347826,0.5149,290.3
Bugesera,Soya beans,2017,Season A,356.3,21.78977900552486,0.503,311.59
Bugesera,Soya beans,2017,Season B,268.8,21.27907608695652,0.4912,291.51
Bugesera,Soya beans,2018,Season A,365.0,21.24723756906077,0.5038,326.75
Bugesera,Soya beans,2018,Season B,525.0,20.205434782608695,0.5423,374.49
Bugesera,Soya beans,2019,Season A,567.6,21.348342541436462,0.514,353.31
Bugesera,Soya beans,2019,Season B,281.2,21.39646739130435,0.4911,288.12
Bugesera,Soya beans,2020,Season A,536.9,21.3456043956044,0.5121,361.83
Bugesera,Soya beans,2020,Season B,397.7,21.37092391304348,0.4963,313.02
Bugesera,Soya beans,2021,Season A,491.3,21.377348066298342,0.5188,349.94
Bugesera,Soya beans,2021,Season B,318.7,20.65217391304348,0.5121,320.32
Bugesera,Sweet potatoes,2015,Season A,553.0,21.2414364640884,0.5452,7026.78
Bugesera,Sweet potatoes,2015,Season B,335.0,21.378260869565217,0.532,3963.31
Bugesera,Sweet potatoes,2016,Season A,465.6,21.58543956043956,0.5365,6705.21
Bugesera,Sweet potatoes,2016,Season B,281.9,21.78016304347826,0.5149,3642.95
Bugesera,Sweet potatoes,2017,Season A,356.3,21.78977900552486,0.503,6087.47
Bugesera,Sweet potatoes,2017,Season B,268.8,21.27907608695652,0.4912,3665.95
Bugesera,Sweet potatoes,2018,Season A,365.0,21.24723756906077,0.5038,6292.63
Bugesera,Sweet potatoes,2018,Season B,525.0,20.205434782608695,0.5423,4760.68
Bugesera,Sweet potatoes,2019,Season A,567.6,21.348342541436462,0.514,6797.85
Bugesera,Sweet potatoes,2019,Season B,281.2,21.39646739130435,0.4911,3691.36
Bugesera,Sweet potatoes,2020,Season A,536.9,21.3456043956044,0.5121,6703.75
Bugesera,Sweet potatoes,2020,Season B,397.7,21.37092391304348,0.4963,4018.34
Bugesera,Sweet potatoes,2021,Season A,491.3,21.377348066298342,0.5188,6747.05
Bugesera,Sweet potatoes,2021,Season B,318.7,20.65217391304348,0.5121,3909.04
Bugesera,Yams & Taro,2015,Season A,553.0,21.2414364640884,0.5452,1517.34
Bugesera,Yams & Taro,2015,Season B,335.0,21.378260869565217,0.532,6560.13
Bugesera,Yams & Taro,2016,Season A,465.6,21.58543956043956,0.5365,1405.57
Bugesera,Yams & Taro,2016,Season B,281.9,21.78016304347826,0.5149,6241.97
Bugesera,Yams & Taro,2017,Season A,356.3,21.78977900552486,0.503,1295.18
Bugesera,Yams & Taro,2017,Season B,268.8,21.27907608695652,0.4912,6030.31
Bugesera,Yams & Taro,2018,Season A,365.0,21.24723756906077,0.5038,1334.99
Bugesera,Yams & Taro,2018,Season B,525.0,20.205434782608695,0.5423,8030.51
Bugesera,Yams & Taro,2019,Season A,567.6,21.348342541436462,0.514,1427.25
Bugesera,Yams & Taro,2019,Season B,281.2,21.39646739130435,0.4911,6003.61
Bugesera,Yams & Taro,2020,Season A,536.9,21.3456043956044,0.5121,1400.45
Bugesera,Yams & Taro,2020,Season B,397.7,21.37092391304348,0.4963,6745.29
Bugesera,Yams & Taro,2021,Season A,491.3,21.377348066298342,0.5188,1388.39
Bugesera,Yams & Taro,2021,Season B,318.7,20.65217391304348,0.5121,6610.67
Burera,Banana for beer,2015,Season A,1208.4,19.20165745856353,0.5743,11004.26
Burera,Banana for beer,2015,Season B,648.3,19.28016304347826,0.5537,8197.1
Burera,Banana for beer,2016,Season A,991.1,19.63791208791209,0.5495,9920.2
Burera,Banana for beer,2016,Season B,653.2,19.801358695652173,0.5386,7767.36
Burera,Banana for beer,2017,Season A,470.3,19.170165745856355,0.5135,8441.74
Burera,Banana for beer,2017,Season B,385.0,18.70625,0.4659,6810.75
Burera,Banana for beer,2018,Season A,584.5,18.767127071823204,0.5195,8888.71
Burera,Banana for beer,2018,Season B,603.0,18.10570652173913,0.5225,8285.95
Burera,Banana for beer,2019,Season A,1037.5,18.71961325966851,0.5292,10281.84
Burera,Banana for beer,2019,Season B,519.2,18.692391304347822,0.5401,8080.75
Burera,Banana for beer,2020,Season A,1029.4,18.752472527472527,0.5107,10093.35
Burera,Banana for beer,2020,Season B,711.8,18.7125,0.5271,8345.71
Burera,Banana for beer,2021,Season A,653.3,18.894198895027625,0.5301,8997.62
Burera,Banana for beer,2021,Season B,657.5,18.253260869565217,0.4923,8009.15
Burera,Bananas,2015,Season A,1208.4,19.20165745856353,0.5743,13242.02
Burera,Bananas,2015,Season B,648.3,19.28016304347826,0.5537,13856.91
Burera,Bananas,2016,Season A,991.1,19.63791208791209,0.5495,11878.54
Burera,Bananas,2016,Season B,653.2,19.801358695652173,0.5386,13210.32
Burera,Bananas,2017,Season A,470.3,19.170165745856355,0.5135,9817.87
Burera,Bananas,2017,Season B,385.0,18.70625,0.4659,11392.03
Burera,Bananas,2018,Season A,584.5,18.767127071823204,0.5195,10764.97
Burera,Bananas,2018,Season B,603.0,18.10570652173913,0.5225,13910.99
Burera,Bananas,2019,Season A,1037.5,18.71961325966851,0.5292,12396.78
Burera,Bananas,2019,Season B,519.2,18.692391304347822,0.5401,13246.21
Burera,Bananas,2020,Season A,1029.4,18.752472527472527,0.5107,11906.71
Burera,Bananas,2020,Season B,711.8,18.7125,0.5271,13768.55
Burera,Bananas,2021,Season A,653.3,18.894198895027625,0.5301,10745.47
Burera,Bananas,2021,Season B,657.5,18.253260869565217,0.4923,13689.19
Burera,Beans,2015,Season B,648.3,19.28016304347826,0.5537,1100.04
Burera,Beans,2016,Season B,653.2,19.801358695652173,0.5386,1052.68
Burera,Beans,2017,Season B,385.0,18.70625,0.4659,946.81
Burera,Beans,2018,Season B,603.0,18.10570652173913,0.5225,1107.49
Burera,Beans,2019,Season B,519.2,18.692391304347822,0.5401,1097.6
Burera,Beans,2020,Season B,711.8,18.7125,0.5271,1130.47
Burera,Beans,2021,Season B,657.5,18.253260869565217,0.4923,1109.64
Burera,Bush bean,2015,Season A,1208.4,19.20165745856353,0.5743,672.22
Burera,Bush bean,2015,Season B,648.3,19.28016304347826,0.5537,752.72
Burera,Bush bean,2016,Season A,991.1,19.63791208791209,0.5495,589.96
Burera,Bush bean,2016,Season B,653.2,19.801358695652173,0.5386,712.37
Burera,Bush bean,2017,Season A,470.3,19.170165745856355,0.5135,492.71
Burera,Bush bean,2017,Season B,385.0,18.70625,0.4659,630.56
Burera,Bush bean,2018,Season A,584.5,18.767127071823204,0.5195,534.71
Burera,Bush bean,2018,Season B,603.0,18.10570652173913,0.5225,752.12
Burera,Bush bean,2019,Season A,1037.5,18.71961325966851,0.5292,628.86
Burera,Bush bean,2019,Season B,519.2,18.692391304347822,0.5401,745.41
Burera,Bush bean,2020,Season A,1029.4,18.752472527472527,0.5107,600.8
Burera,Bush bean,2020,Season B,711.8,18.7125,0.5271,751.12
Burera,Bush bean,2021,Season A,653.3,18.894198895027625,0.5301,543.33
Burera,Bush bean,2021,Season B,657.5,18.253260869565217,0.4923,725.16
Burera,Cassava,2015,Season A,1208.4,19.20165745856353,0.5743,14079.43
Burera,Cassava,2015,Season B,648.3,19.28016304347826,0.5537,12661.72
Burera,Cassava,2016,Season A,991.1,19.63791208791209,0.5495,12779.71
Burera,Cassava,2016,Season B,653.2,19.801358695652173,0.5386,12201.65
Burera,Cassava,2017,Season A,470.3,19.170165745856355,0.5135,10539.92
Burera,Cassava,2017,Season B,385.0,18.70625,0.4659,10610.4
Burera,Cassava,2018,Season A,584.5,18.767127071823204,0.5195,11250.89
Burera,Cassava,2018,Season B,603.0,18.10570652173913,0.5225,12673.06
Burera,Cassava,2019,Season A,1037.5,18.71961325966851,0.5292,13257.58
Burera,Cassava,2019,Season B,519.2,18.692391304347822,0.5401,12347.41
Burera,Cassava,2020,Season A,1029.4,18.752472527472527,0.5107,12986.69
Burera,Cassava,2020,Season B,711.8,18.7125,0.5271,12842.92
Burera,Cassava,2021,Season A,653.3,18.894198895027625,0.5301,11822.01
Burera,Cassava,2021,Season B,657.5,18.253260869565217,0.4923,12211.21
Burera,Climbing bean,2015,Season A,1208.4,19.20165745856353,0.5743,893.41
Burera,Climbing bean,2015,Season B,648.3,19.28016304347826,0.5537,1110.52
Burera,Climbing bean,2016,Season A,991.1,19.63791208791209,0.5495,789.27
Burera,Climbing bean,2016,Season B,653.2,19.801358695652173,0.5386,1071.82
Burera,Climbing bean,2017,Season A,470.3,19.170165745856355,0.5135,653.24
Burera,Climbing bean,2017,Season B,385.0,18.70625,0.4659,939.35
Burera,Climbing bean,2018,Season A,584.5,18.767127071823204,0.5195,696.79
Burera,Climbing bean,2018,Season B,603.0,18.10570652173913,0.5225,1142.1
Burera,Climbing bean,2019,Season A,1037.5,18.71961325966851,0.5292,808.88
Burera,Climbing bean,2019,Season B,519.2,18.692391304347822,0.5401,1125.86
Burera,Climbing bean,2020,Season A,1029.4,18.752472527472527,0.5107,811.36
Burera,Climbing bean,2020,Season B,711.8,18.7125,0.5271,1146.9
Burera,Climbing bean,2021,Season A,653.3,18.894198895027625,0.5301,722.42
Burera,Climbing bean,2021,Season B,657.5,18.253260869565217,0.4923,1106.06
Burera,Cooking Banana,2015,Season A,1208.4,19.20165745856353,0.5743,16273.57
Burera,Cooking Banana,2015,Season B,648.3,19.28016304347826,0.5537,20853.06
Burera,Cooking Banana,2016,Season A,991.1,19.63791208791209,0.5495,14772.38
Burera,Cooking Banana,2016,Season B,653.2,19.801358695652173,0.5386,19690.3
Burera,Cooking Banana,2017,Season A,470.3,19.170165745856355,0.5135,12220.63
Burera,Cooking Banana,2017,Season B,385.0,18.70625,0.4659,17687.67
Burera,Cooking Banana,2018,Season A,584.5,18.767127071823204,0.5195,12929.21
Burera,Cooking Banana,2018,Season B,603.0,18.10570652173913,0.5225,20420.28
Burera,Cooking Banana,2019,Season A,1037.5,18.71961325966851,0.5292,14992.83
Burera,Cooking Banana,2019,Season B,519.2,18.692391304347822,0.5401,20138.78
Burera,Cooking Banana,2020,Season A,1029.4,18.752472527472527,0.5107,15030.47
Burera,Cooking Banana,2020,Season B,711.8,18.7125,0.5271,20913.76
Burera,Cooking Banana,2021,Season A,653.3,18.894198895027625,0.5301,13174.15
Burera,Cooking Banana,2021,Season B,657.5,18.253260869565217,0.4923,19901.98
Burera,Dessert banana,2015,Season A,1208.4,19.20165745856353,0.5743,6715.52
Burera,Dessert banana,2015,Season B,648.3,19.28016304347826,0.5537,12660.65
Burera,Dessert banana,2016,Season A,991.1,19.63791208791209,0.5495,6058.41
Burera,Dessert banana,2016,Season B,653.2,19.801358695652173,0.5386,11779.03
Burera,Dessert banana,2017,Season A,470.3,19.170165745856355,0.5135,4997.47
Burera,Dessert banana,2017,Season B,385.0,18.70625,0.4659,10755.7
Burera,Dessert banana,2018,Season A,584.5,18.767127071823204,0.5195,5560.97
Burera,Dessert banana,2018,Season B,603.0,18.10570652173913,0.5225,12399.23
Burera,Dessert banana,2019,Season A,1037.5,18.71961325966851,0.5292,6213.24
Burera,Dessert banana,2019,Season B,519.2,18.692391304347822,0.5401,12036.04
Burera,Dessert banana,2020,Season A,1029.4,18.752472527472527,0.5107,6199.07
Burera,Dessert banana,2020,Season B,711.8,18.7125,0.5271,12452.14
Burera,Dessert banana,2021,Season A,653.3,18.894198895027625,0.5301,5489.66
Burera,Dessert banana,2021,Season B,657.5,18.253260869565217,0.4923,12115.45
Burera,Irish potatoes,2015,Season A,1208.4,19.20165745856353,0.5743,12793.01
Burera,Irish potatoes,2015,Season B,648.3,19.28016304347826,0.5537,10772.94
Burera,Irish potatoes,2016,Season A,991.1,19.63791208791209,0.5495,11602.71
Burera,Irish potatoes,2016,Season B,653.2,19.801358695652173,0.5386,10308.51
Burera,Irish potatoes,2017,Season A,470.3,19.170165745856355,0.5135,9663.95
Burera,Irish potatoes,2017,Season B,385.0,18.70625,0.4659,9076.6
Burera,Irish potatoes,2018,Season A,584.5,18.767127071823204,0.5195,10402.94
Burera,Irish potatoes,2018,Season B,603.0,18.10570652173913,0.5225,11045.19
Burera,Irish potatoes,2019,Season A,1037.5,18.71961325966851,0.5292,12123.22
